date,action,code,price,spot_close,annualized_basis,days_to_expiry,cumulative_profit
2023-01-03,entry,IM2306,6270.00000000,6423.70000000,0.05455761,164,0.00000000
2023-06-12,roll,IM2307,6505.00000000,6530.16000000,0.03619858,39,50840.00000000
2023-07-17,roll,IM2308,6487.60000000,6516.56000000,0.05091636,32,50640.00000000
2023-08-14,roll,IM2309,6312.40000000,6319.41000000,0.01266678,32,15160.00000000
2023-09-11,roll,IM2310,6157.60000000,6182.64000000,0.03805845,39,-13800.00000000
2023-10-16,roll,IM2311,5997.20000000,6024.36000000,0.05165640,32,-43160.00000000
2023-11-13,roll,IM2312,6080.60000000,6144.63000000,0.12011022,32,-20400.00000000
2023-12-11,roll,IM2403,5972.80000000,6075.08000000,0.06579335,95,-22400.00000000
2024-03-11,roll,IM2404,5383.00000000,5466.65000000,0.14543530,39,-130520.00000000
2024-04-15,roll,IM2405,5162.60000000,5287.51000000,0.27597619,32,-161960.00000000
2024-05-13,roll,IM2406,5433.80000000,5520.80000000,0.14984555,39,-94360.00000000
2024-06-17,roll,IM2407,5125.60000000,5183.97000000,0.12989363,32,-145960.00000000
2024-07-15,roll,IM2408,4761.40000000,4827.60000000,0.15858650,32,-210080.00000000
2024-08-12,roll,IM2409,4613.20000000,4674.10000000,0.12355015,39,-229200.00000000
2024-09-18,roll,IM2410,4361.00000000,4399.13000000,0.10637812,30,-271920.00000000
2024-10-14,roll,IM2411,5573.40000000,5615.76000000,0.08669192,32,-25960.00000000
2024-11-11,roll,IM2412,6492.40000000,6579.01000000,0.12485071,39,165080.00000000
2024-12-16,roll,IM2501,6220.80000000,6277.52000000,0.10399989,32,118560.00000000
